Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jorge Eduardo Carinao Cardenas,M,B,Raw,24.0,24-34,24-39,Open,53.55,54,,,,,,,,,,148.0,,,,,,148.0,1,137.92,140.89,138.51,94.29,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,35.0,35-39,24-39,Open,58.75,59,,,,,,,,,,175.0,,,,,,175.0,1,150.31,152.18,148.78,105.85,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Sebastian Castro Rajdl,M,B,Raw,28.0,24-34,24-39,Open,71.0,72,,,,,,,,,,122.0,,,,,,122.0,6,90.75,90.45,87.6,66.52,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Frank Herlando Feliu Ubilla,M,B,Raw,33.0,24-34,24-39,Open,96.18,97,,,,,,,,,,170.0,,,,,,170.0,3,106.47,105.16,100.54,79.35,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Cristian Aguirre,M,B,Raw,41.0,40-44,40-49,Open,98.83,107,,,,,,,,,,157.0,,,,,,157.0,2,97.13,96.01,91.72,72.33,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Camila Campos,F,B,Raw,20.0,20-23,19-23,Open,53.8,55,,,,,,,,,,80.0,,,,,,80.0,2,95.26,97.13,86.0,74.38,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Maria Antonieta Ortiz,F,B,Raw,33.0,24-34,24-39,Open,66.04,67,,,,,,,,,,85.0,,,,,,85.0,1,88.88,88.14,77.78,69.19,Yes,Chile,,WPPO,,2015-08-08,Canada,ON,Toronto,Para Pan American Games,Yes
Heber Israel Leyton Sanchez,M,B,Raw,22.0,20-23,19-23,Open,45.84,49,,,,,,85.0,-91.0,91.0,,91.0,,,,,,91.0,14,98.97,102.67,101.74,63.33,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Diego E Silva Herrera,M,B,Raw,20.0,20-23,19-23,Open,48.17,49,,,,,,-90.0,90.0,-94.0,,90.0,,,,,,90.0,16,92.94,95.95,94.88,60.89,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
Javier I Yajue Gomez,M,B,Raw,24.0,24-34,24-39,Open,53.24,54,,,,,,135.0,-140.0,141.0,,141.0,,,,,,141.0,10,132.1,135.02,132.79,90.13,Yes,Chile,,WPPO,,2021-11-28,Georgia,,Tblisi,World Senior Championships,Yes
